Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
0,2481,21D,20.5,45.8,608,2019-12-17,2020-01-17,,
1,2481,13B,22.1,11.7,184,2020-02-05,2020-03-05,,
2,2481,10H,16.5,38.2,603,2020-02-19,2020-03-23,,
3,2481,80B,25.7,30.3,488,2020-03-18,2020-04-23,,
4,2481,22D,19.2,41,433,2019-12-17,2020-01-17,,
5,2481,10E,21.9,46.4,313,2020-02-21,2020-03-20,,
6,2481,11A,48.5,44.2,1461,2020-01-13,2020-03-02,2,
7,2481,12B,22.1,35,342,2020-02-03,2020-03-05,,
8,2481,80E,12.8,39.3,304,2020-03-16,2020-04-21,,
9,2481,10J,16.5,42.4,307,2020-03-04,2020-03-26,,
10,2481,10G,21.9,46.4,389,2020-03-04,2020-03-27,,
11,2481,51A,45.4,19.2,349,2020-03-13,2020-04-21,,
12,2481,10C,21.9,44.4,360,2020-02-17,2020-03-16,,
13,2481,10F,21.4,46.4,473,2020-02-26,2020-03-25,,
14,2481,10D,21.4,46.4,444,2020-02-20,2020-03-19,,
15,2481,80A,37.9,27.5,649,2020-03-09,2020-04-16,,
16,2482,11A,48.5,44.2,1461,2020-03-06,2020-04-14,2,
17,2482,80E,12.8,39.3,304,2020-05-06,2020-06-02,,
18,2482,10H,16.5,38.2,603,2020-03-27,2020-05-06,,
19,2482,80B,25.7,30.3,488,2020-05-04,2020-06-03,,
20,2482,22D,19.2,41,433,2020-03-23,2020-04-16,,
21,2482,10E,21.9,46.4,313,2020-04-02,2020-05-04,,
22,2482,51A,45.4,19.2,349,2020-04-23,2020-06-02,,
23,2482,12B,22.1,35,342,2020-03-18,2020-04-17,,
24,2482,80A,37.9,27.5,649,2020-04-22,2020-05-28,,
25,2482,10C,21.9,44.4,360,2020-03-30,2020-04-27,,
26,2482,13B,22.1,11.7,184,2020-03-20,2020-04-17,,
27,2482,10F,21.4,46.4,473,2020-04-07,2020-05-07,,
28,2482,21D,20.5,45.8,608,2020-03-20,2020-04-16,,
29,2482,10J,16.5,42.4,307,2020-04-09,2020-05-08,,
30,2482,10G,21.9,46.4,389,2020-04-13,2020-05-11,,
31,2482,10D,21.4,46.4,444,2020-04-02,2020-04-29,,
32,2484,12B,22.1,35,342,2019-12-11,2020-01-17,,
33,2484,13B,22.1,11.7,184,2019-12-20,2020-01-21,,
34,2484,80B,25.7,30.3,488,2020-01-20,2020-02-21,,
35,2485,13B,22.1,11.7,184,2020-05-27,2020-06-25,,
36,2485,22D,19.2,41,433,2020-03-27,2020-04-23,,
37,2485,12B,22.1,35,342,2020-05-25,2020-06-24,,
38,2485,10G,21.9,46.4,389,2020-06-18,2020-07-15,,
